Date,Actual,Prediction
01/01/2017,9927,19246.2284
01/02/2017,8061,19387.57374
01/03/2017,14727,19347.40509
01/04/2017,17793,19333.2325
01/05/2017,21775,19288.33523
01/06/2017,22293,19269.06354
01/07/2017,11336,19228.06626
01/08/2017,9512,19205.62945
01/09/2017,18772,19186.99132
01/10/2017,22220,19129.56054
01/11/2017,21511,19108.20555
01/12/2017,22330,19082.64812
01/13/2017,21997,19063.57575
01/14/2017,10853,19019.298
01/15/2017,9326,18989.09006
01/16/2017,13591,18969.32885
01/17/2017,19969,18937.14039
01/18/2017,20270,18899.48665
01/19/2017,23151,18869.35816
01/20/2017,20355,18533.14392
01/21/2017,11116,18810.66283
01/22/2017,8680,18667.86176
01/23/2017,17672,18741.40606
01/24/2017,19063,18726.98516
01/25/2017,20516,18714.0005
01/26/2017,22178,18676.76777
01/27/2017,22339,18638.00881
01/28/2017,10722,18607.53019
01/29/2017,8916,18567.40591
01/30/2017,18137,18552.24313
01/31/2017,19422,18524.13245
02/01/2017,20526,18458.76017
02/02/2017,22947,18458.48063
02/03/2017,21847,18435.46165
02/04/2017,10333,18330.22617
02/05/2017,8612,18385.59666
02/06/2017,17551,18356.33032
02/07/2017,20644,18330.10353
02/08/2017,22727,18296.64252
02/09/2017,23766,18259.60785
02/10/2017,22084,18230.69451
02/11/2017,11875,18199.33145
02/12/2017,9473,18165.89308
02/13/2017,17317,18137.894
02/14/2017,19807,18113.29016
02/15/2017,22114,18047.60581
02/16/2017,23514,18044.7733
02/17/2017,20794,18020.01486
02/18/2017,13202,17992.76589
02/19/2017,10262,17953.8879
02/20/2017,13085,17911.08733
02/21/2017,19944,17916.86891
02/22/2017,22942,17869.06922
02/23/2017,27608,17831.47395
02/24/2017,24749,17006.65665
02/25/2017,14822,17739.7084
02/26/2017,10595,17741.16129
02/27/2017,18505,17719.94985
02/28/2017,21977,17694.26358
03/01/2017,24940,17653.25557
03/02/2017,23911,17601.97389
03/03/2017,24069,17604.20237
03/04/2017,13065,17586.52582
03/05/2017,10341,17511.92131
03/06/2017,19032,17507.63267
03/07/2017,21678,17475.86603
03/08/2017,23566,17465.02798
03/09/2017,25463,17417.76123
03/10/2017,25787,17402.54586
03/11/2017,13960,16696.66102
03/12/2017,10588,17334.79637
03/13/2017,21682,17302.25874
03/14/2017,21652,17280.28937
03/15/2017,26271,17249.56706
03/16/2017,27816,17227.39537
03/17/2017,28319,17100.86893
03/18/2017,15919,16973.11774
03/19/2017,15007,17134.88657
03/20/2017,20609,16358.27975
03/21/2017,24467,17064.43287
03/22/2017,24658,17030.39809
03/23/2017,24791,16997.01857
03/24/2017,23615,16988.54052
03/25/2017,14713,16942.62341
03/26/2017,13792,16920.40355
03/27/2017,20668,16877.82293
03/28/2017,21246,16846.42692
03/29/2017,22972,16835.84088
03/30/2017,27055,16793.50808
03/31/2017,25836,16723.1495
04/01/2017,13845,16688.4279
04/02/2017,13180,16717.40459
04/03/2017,23929,16151.94488
04/04/2017,24185,15924.07721
04/05/2017,27548,15916.01613
04/06/2017,25323,15881.30736
04/07/2017,24430,16507.99569
04/08/2017,13236,16469.13059
04/09/2017,11243,16495.31333
04/10/2017,21391,16482.92046
04/11/2017,21460,16455.79455
04/12/2017,22568,16417.9512
04/13/2017,24562,16392.30706
04/14/2017,18527,16341.0224
04/15/2017,11784,16324.13915
04/16/2017,9419,16283.61911
04/17/2017,19042,16262.69436
04/18/2017,21477,16238.41129
04/19/2017,25083,16204.86782
04/20/2017,24771,16165.59376
04/21/2017,26183,16127.9126
04/22/2017,13148,15402.39165
