Day,Date,Rides,20_ExpMA
1,2013-01-01,310,310.0
2,2013-01-02,122,211.3
3,2013-01-03,76,161.6186511240633
4,2013-01-04,109,146.42846009975062
5,2013-01-05,160,149.71130011032326
6,2013-01-06,118,143.02166427687433
7,2013-01-07,86,132.24027895153557
8,2013-01-08,86,124.24741438707083
9,2013-01-09,78,116.82910298055359
10,2013-01-10,93,113.24064654690795
11,2013-01-11,117,113.77707931125913
12,2013-01-12,188,123.88833083473442
13,2013-01-13,155,127.95972925211802
14,2013-01-14,102,124.6793992785391
15,2013-01-15,99,121.5324389351431
16,2013-01-16,96,118.48666816184691
17,2013-01-17,98,116.10020807987948
18,2013-01-18,148,119.7388429244889
19,2013-01-19,224,131.41158686074849
20,2013-01-20,187,137.53274906235552
21,2013-01-21,121,135.73892032871967
22,2013-01-22,102,132.12611377538715
23,2013-01-23,123,131.16031600584182
24,2013-01-24,131,131.14352787767575
25,2013-01-25,176,135.79673525065843
26,2013-01-26,192,141.57788293061776
27,2013-01-27,190,146.52096795511522
28,2013-01-28,112,143.02091507506557
29,2013-01-29,106,139.2903416883722
30,2013-01-30,117,137.05651440065074
31,2013-01-31,143,137.64919128053998
32,2013-02-01,159,139.7687698957452
33,2013-02-02,249,150.56899511653498
34,2013-02-03,171,152.58178825346897
35,2013-02-04,134,150.7571557182625
36,2013-02-05,97,145.4940503959479
37,2013-02-06,102,141.24708362299737
38,2013-02-07,129,140.05409104722787
39,2013-02-08,207,146.56117979096928
40,2013-02-09,179,149.70803582810746
41,2013-02-10,178,152.4477580334468
42,2013-02-11,116,148.92388538201763
43,2013-02-12,109,145.06949946907588
44,2013-02-13,120,142.65236083424156
45,2013-02-14,169,145.18974189544662
46,2013-02-15,191,149.5967524254296
47,2013-02-16,235,157.8047568654887
48,2013-02-17,190,160.8963114899968
49,2013-02-18,118,156.78042427833554
50,2013-02-19,99,151.2403534699694
51,2013-02-20,103,146.61797230174355
52,2013-02-21,126,144.64351081629766
53,2013-02-22,188,148.79332301691096
54,2013-02-23,234,156.94489632177985
55,2013-02-24,207,161.7315213079171
56,2013-02-25,102,156.02178963221692
57,2013-02-26,107,151.33744850348668
58,2013-02-27,120,148.34391026228855
59,2013-02-28,124,146.0191052257729
60,2013-03-01,183,149.54980321475674
61,2013-03-02,257,159.80604186413095
62,2013-03-03,211,164.69152049406466
63,2013-03-04,161,164.3393037281066
64,2013-03-05,127,160.77729260645015
65,2013-03-06,160,160.70315387912922
66,2013-03-07,155,160.15926053604565
67,2013-03-08,208,164.72110535527668
68,2013-03-09,264,174.18672108460885
69,2013-03-10,225,179.03093487691137
70,2013-03-11,216,182.5549930280418
