Day,Date,Rides,20_ExpMA,Poly_Average,Revenue
1,2013-01-01,411,411.0,203.8007976319933,4597.21
2,2013-01-02,154,276.07500000000005,204.15690740216118,62.5
3,2013-01-03,138,225.37468776019986,204.51221442391383,41.5
4,2013-01-04,150,203.61518079800499,204.86671923512867,35.01
5,2013-01-05,189,200.07989293545657,205.22042237344138,61.0
6,2013-01-06,205,201.11781078836293,205.57332437624552,87.5
7,2013-01-07,126,186.91489207008757,205.92542578069288,28.0
8,2013-01-08,123,175.86688181686168,206.2767271236932,69.0
9,2013-01-09,141,170.2740634826972,206.62722894191444,36.0
10,2013-01-10,167,169.7810178914201,206.9769317717826,65.5
11,2013-01-11,182,171.52457896697476,207.32583614948163,53.5
12,2013-01-12,230,179.49057767087277,207.67394261095382,84.5
13,2013-01-13,215,184.13748379169326,208.02125169189918,82.1
14,2013-01-14,183,183.9937487727293,208.3677639277761,162.0
15,2013-01-15,153,180.1955252542193,208.71347985380103,48.6
16,2013-01-16,168,178.74071811735888,209.0584000049484,41.5
17,2013-01-17,150,175.39275660539914,209.40252491595052,55.0
18,2013-01-18,198,177.9714412489274,209.74585512129826,115.61
19,2013-01-19,238,184.6920456889539,210.0883911552401,105.0
20,2013-01-20,252,192.1037144618002,210.43013355178294,112.4
21,2013-01-21,171,189.81392894305537,210.77108284469162,85.0
22,2013-01-22,124,182.7664896216604,211.1112395674891,45.0
23,2013-01-23,138,178.0289444966393,211.45060425345628,22.5
24,2013-01-24,170,177.18816164068005,211.7891774356323,55.11
25,2013-01-25,207,180.2807068073499,212.12695964681419,86.27
26,2013-01-26,288,191.36086638001672,212.46395141955742,171.05
27,2013-01-27,261,198.46985250763024,212.8001532861752,146.55
28,2013-01-28,191,197.7124902338704,213.1355657787389,108.31
29,2013-01-29,157,193.60991923408483,213.4701894290781,36.5
30,2013-01-30,183,192.54664584702925,213.80402476878012,54.0
31,2013-01-31,216,194.88538471161775,214.13707232919086,66.97
32,2013-02-01,286,203.93069033144118,214.46933264141398,64.0
33,2013-02-02,286,212.0452838161908,214.80080623631127,129.53
34,2013-02-03,224,213.2230218093053,215.13149364450248,121.5
35,2013-02-04,218,213.69209559853473,215.4613953963657,56.5
36,2013-02-05,169,209.31650684077368,215.79051202203698,42.0
37,2013-02-06,175,205.96567924505098,216.1188440514103,41.0
38,2013-02-07,174,202.85189157178277,216.44639201413798,60.0
39,2013-02-08,232,205.6850643708616,216.7731564396302,53.0
40,2013-02-09,239,208.9169114490189,217.09913785705535,188.0
41,2013-02-10,238,211.73324413694638,217.42433679533988,133.0
42,2013-02-11,174,208.0850870420198,217.7487537831684,42.5
43,2013-02-12,176,204.9874850344263,218.07238934898328,64.0
44,2013-02-13,180,202.57825402690017,218.3952440209853,82.0
45,2013-02-14,206,202.9077815938209,218.71731832713317,64.03999999999999
46,2013-02-15,254,207.82292404951997,219.03861279514385,100.5
47,2013-02-16,308,217.45082354450957,219.35912795249212,177.0
48,2013-02-17,280,223.4571206525087,219.67886432641086,148.0
49,2013-02-18,191,220.3428704249067,219.99782244389144,69.0
50,2013-02-19,194,217.8170778355934,220.31600283168274,62.75
51,2013-02-20,201,216.205668749625,220.63340601629207,51.32
