Day,Date,Rides,20_ExpMA,Poly_Average
1,01/01/2013,1169,1169.0,1774.5534423496051
2,01/02/2013,1536,1361.6750000000004,1778.296180839674
3,01/03/2013,1421,1383.4587843463778,1782.0352753782092
4,01/04/2013,1278,1353.014463840399,1785.7707222049978
5,01/05/2013,1012,1270.5259670075038,1789.5025175645803
6,01/06/2013,1703,1361.758233678304,1793.2306577062525
7,01/07/2013,1721,1429.6819598056784,1796.955138884061
8,01/08/2013,1574,1454.6280582211139,1800.6759573568095
9,01/09/2013,1580,1474.7383307213543,1804.3931093880535
10,01/10/2013,1805,1524.4728764521217,1808.1065912461045
11,01/11/2013,1518,1523.549243425368,1811.8163992040243
12,01/12/2013,809,1426.2075185358106,1815.5225295396328
13,01/13/2013,1376,1419.6371603071468,1819.2249785355
14,01/14/2013,1879,1477.6832854095442,1822.9237424789521
15,01/15/2013,1735,1509.2169473821525,1826.6188176620685
16,01/16/2013,1655,1526.6074427450603,1830.3102003816816
17,01/17/2013,1981,1579.538924373269,1833.9978869393792
18,01/18/2013,1641,1586.5494532169241,1837.6818736415014
19,01/19/2013,894,1509.0138430496309,1841.3621567991445
20,01/20/2013,1463,1503.9469922273108,1845.0387327281549
21,01/21/2013,2219,1581.5313447495425,1848.7115977491367
22,01/22/2013,1959,1621.951169037921,1852.3807481874453
23,01/23/2013,1935,1655.0804801711395,1856.0461803731914
24,01/24/2013,2180,1710.0495154179525,1859.7078906412385
25,01/25/2013,1842,1723.7374614082532,1863.3658753312047
26,01/26/2013,988,1648.0584606055588,1867.0201307874613
27,01/27/2013,1619,1645.0920797418626,1870.670653359134
28,01/28/2013,2229,1704.2940291379673,1874.3174394001026
29,01/29/2013,1685,1702.3497824471915,1877.960485269
30,01/30/2013,1914,1723.5603156023776,1881.5997873292126
31,01/31/2013,2143,1765.3863113577524,1885.2353419488825
32,02/01/2013,1711,1759.9871686822466,1888.867145500904
33,02/02/2013,769,1662.0034271967234,1892.495194362925
34,02/03/2013,1496,1645.6493339509475,1896.1194849173487
35,02/04/2013,2172,1697.3341630481366,1899.7400135513321
36,02/05/2013,1739,1701.413465334316,1903.356776656784
37,02/06/2013,1787,1709.7705432709115,1906.9697706303689
38,02/07/2013,1917,1729.9568350419836,1910.5789918735056
39,02/08/2013,1831,1739.778149766296,1914.1844367923645
40,02/09/2013,944,1662.580543358971,1917.786101797872
41,02/10/2013,1534,1650.1291289688334,1921.3839833057066
