Date,Actual,Prediction
2017-01-02,85,106.96297709163555
2017-01-03,107,106.59754363288783
2017-01-04,102,106.23180017480617
2017-01-05,109,105.86574679326914
2017-01-06,134,105.49938356380737
2017-01-07,103,105.13271056160333
2017-01-08,115,104.76572786149218
2017-01-09,100,104.39843553796096
2017-01-10,88,104.03083366514895
2017-01-11,91,103.66292231684797
2017-01-12,97,103.294701566501
2017-01-13,101,102.92617148720412
2017-01-14,157,102.55733215170527
2017-01-15,154,102.18818363240456
2017-01-16,67,101.81872600135452
2017-01-17,96,101.44895933025923
2017-01-18,103,101.0788836904753
2017-01-19,99,100.70849915301183
2017-01-20,122,100.33780578852969
2017-01-21,116,99.96680366734186
2017-01-22,117,99.59549285941362
2017-01-23,80,99.22387343436264
2017-01-24,91,98.85194546145844
2017-01-25,76,98.47970900962275
2017-01-26,92,98.10716414742956
2017-01-27,135,97.73431094310511
2017-01-28,146,97.36114946452759
2017-01-29,146,96.98767977922753
2017-01-30,85,96.61390195438774
2017-01-31,87,96.23981605684264
2017-02-01,112,95.86542215307954
2017-02-02,105,95.49072030923715
2017-02-03,117,95.1157105911074
2017-02-04,111,94.74039306413339
2017-02-05,124,94.36476779341089
2017-02-06,111,93.98883484368754
2017-02-07,78,93.61259427936355
2017-02-08,96,93.23604616449096
2017-02-09,76,92.85919056277415
2017-02-10,107,92.48202753756932
2017-02-11,144,92.10455715188547
2017-02-12,110,91.72677946838351
2017-02-13,113,91.34869454937596
2017-02-14,89,90.9703024568285
2017-02-15,86,90.59160325235824
2017-02-16,95,90.21259699723448
2017-02-17,104,89.83328375237923
2017-02-18,143,89.45366357836605
2017-02-19,135,89.0737365354211
2017-02-20,113,88.69350268342247
2017-02-21,120,88.31296208190061
2017-02-22,99,87.93211479003791
2017-02-23,99,87.55096086666904
2017-02-24,110,87.16950037028093
2017-02-25,156,86.7877333590125
2017-02-26,129,86.405659890655
2017-02-27,137,86.02328002265175
2017-02-28,90,85.64059381209843
2017-03-01,102,85.25760131574249
2017-03-02,128,84.87430258998367
2017-03-03,117,84.49069769087428
2017-03-04,130,84.10678667411862
2017-03-05,176,83.72256959507254
2017-03-06,121,83.33804650874502
2017-03-07,75,82.95321746979644
2017-03-08,105,82.5680825325399
2017-03-09,111,82.18264175094033
2017-03-10,133,81.79689517861512
2017-03-11,169,81.4108428688331
2017-03-12,165,81.02448487451642
2017-03-13,129,80.63782124823835
2017-03-14,130,80.25085204222492
2017-03-15,106,79.86357730835424
2017-03-16,122,79.47599709815644
2017-03-17,146,79.08811146281393
2017-03-18,145,78.69992045316118
2017-03-19,144,78.31142411968484
2017-03-20,114,77.92262251252397
2017-03-21,119,77.53351568146945
2017-03-22,99,77.14410367596467
2017-03-23,132,76.75438654510494
2017-03-24,106,76.36436433763788
2017-03-25,129,75.97403710196315
2017-03-26,159,75.58340488613231
2017-03-27,109,75.19246773784994
2017-03-28,120,74.80122570447188
2017-03-29,101,74.40967883300672
2017-03-30,115,74.0178271701151
2017-03-31,123,73.62567076210964
2017-04-01,153,73.23320965495493
2017-04-02,154,72.84044389426869
2017-04-03,108,72.4473735253195
2017-04-04,94,72.05399859302933
2017-04-05,102,71.66031914197112
2017-04-06,103,71.26633521637113
2017-04-07,127,70.87204686010715
2017-04-08,143,70.47745411670911
2017-04-09,151,70.08255702935936
2017-04-10,96,69.68735564089218
2017-04-11,94,69.29184999379429
2017-04-12,85,68.89604013020467
2017-04-13,80,68.49992609191352
2017-04-14,117,68.10350792036456
2017-04-15,138,67.70678565665266
2017-04-16,145,67.30975934152563
2017-04-17,102,66.9124290153829
