Day,Date,Rides
1,2013-01-01,76
2,2013-01-02,20
3,2013-01-03,25
4,2013-01-04,26
5,2013-01-05,26
6,2013-01-06,23
7,2013-01-07,20
8,2013-01-08,25
9,2013-01-09,26
10,2013-01-10,23
11,2013-01-11,26
12,2013-01-12,53
13,2013-01-13,28
14,2013-01-14,31
15,2013-01-15,33
16,2013-01-16,29
17,2013-01-17,26
18,2013-01-18,30
19,2013-01-19,54
20,2013-01-20,43
21,2013-01-21,31
22,2013-01-22,30
23,2013-01-23,33
24,2013-01-24,25
25,2013-01-25,29
26,2013-01-26,50
27,2013-01-27,26
28,2013-01-28,18
29,2013-01-29,31
30,2013-01-30,19
31,2013-01-31,22
32,2013-02-01,37
33,2013-02-02,35
34,2013-02-03,37
35,2013-02-04,34
36,2013-02-05,28
37,2013-02-06,24
38,2013-02-07,26
39,2013-02-08,60
40,2013-02-09,68
41,2013-02-10,49
42,2013-02-11,37
43,2013-02-12,27
44,2013-02-13,18
45,2013-02-14,26
46,2013-02-15,48
47,2013-02-16,61
48,2013-02-17,71
49,2013-02-18,31
50,2013-02-19,27
51,2013-02-20,23
52,2013-02-21,36
53,2013-02-22,50
54,2013-02-23,99
55,2013-02-24,41
56,2013-02-25,22
57,2013-02-26,23
58,2013-02-27,34
59,2013-02-28,36
60,2013-03-01,80
61,2013-03-02,142
62,2013-03-03,94
63,2013-03-04,65
64,2013-03-05,40
65,2013-03-06,34
66,2013-03-07,41
67,2013-03-08,57
68,2013-03-09,77
69,2013-03-10,65
70,2013-03-11,56
71,2013-03-12,49
72,2013-03-13,59
73,2013-03-14,54
74,2013-03-15,57
75,2013-03-16,98
76,2013-03-17,72
77,2013-03-18,53
78,2013-03-19,39
79,2013-03-20,48
80,2013-03-21,48
81,2013-03-22,61
82,2013-03-23,88
83,2013-03-24,66
84,2013-03-25,36
85,2013-03-26,44
86,2013-03-27,41
87,2013-03-28,40
88,2013-03-29,60
89,2013-03-30,75
90,2013-03-31,56
91,2013-04-01,166
92,2013-04-02,33
93,2013-04-03,68
94,2013-04-04,60
95,2013-04-05,104
96,2013-04-06,125
97,2013-04-07,77
98,2013-04-08,36
99,2013-04-09,36
100,2013-04-10,23
101,2013-04-11,36
102,2013-04-12,58
103,2013-04-13,76
104,2013-04-14,49
105,2013-04-15,28
106,2013-04-16,43
107,2013-04-17,38
108,2013-04-18,31
109,2013-04-19,57
110,2013-04-20,120
111,2013-04-21,72
112,2013-04-22,91
113,2013-04-23,46
114,2013-04-24,65
115,2013-04-25,77
116,2013-04-26,117
117,2013-04-28,92
118,2013-04-29,41
119,2013-04-30,34
120,2013-05-01,35
121,2013-05-02,44
122,2013-05-03,52
123,2013-05-04,70
124,2013-05-05,55
125,2013-05-06,50
126,2013-05-07,43
127,2013-05-08,41
128,2013-05-09,48
129,2013-05-10,134
130,2013-05-11,163
131,2013-05-12,83
132,2013-05-13,55
133,2013-05-14,56
134,2013-05-15,52
135,2013-05-16,58
136,2013-05-17,60
137,2013-05-18,78
138,2013-05-19,82
139,2013-05-20,156
140,2013-05-21,158
141,2013-05-22,162
142,2013-05-23,69
143,2013-05-24,133
144,2013-05-26,137
145,2013-05-27,140
146,2013-05-28,106
147,2013-05-29,45
148,2013-05-30,40
149,2013-05-31,62
150,2013-06-01,105
151,2013-06-02,97
152,2013-06-03,82
153,2013-06-04,44
154,2013-06-05,46
155,2013-06-06,126
156,2013-06-07,134
157,2013-06-08,92
158,2013-06-09,85
159,2013-06-10,93
160,2013-06-11,136
161,2013-06-12,56
162,2013-06-13,52
163,2013-06-14,73
164,2013-06-15,103
165,2013-06-16,74
166,2013-06-17,58
167,2013-06-18,50
168,2013-06-19,41
169,2013-06-20,49
170,2013-06-21,55
171,2013-06-22,116
172,2013-06-23,89
173,2013-06-24,66
174,2013-06-25,100
175,2013-06-26,111
176,2013-06-27,49
177,2013-06-28,134
178,2013-06-29,168
179,2013-06-30,74
180,2013-07-01,69
181,2013-07-02,116
182,2013-07-03,110
183,2013-07-04,88
184,2013-07-05,76
185,2013-07-06,90
186,2013-07-07,65
187,2013-07-08,124
188,2013-07-09,68
189,2013-07-10,37
190,2013-07-11,38
191,2013-07-12,73
192,2013-07-13,114
193,2013-07-14,96
194,2013-07-15,63
195,2013-07-16,52
196,2013-07-17,48
197,2013-07-18,49
198,2013-07-19,96
199,2013-07-20,124
200,2013-07-21,150
201,2013-07-22,134
202,2013-07-23,164
203,2013-07-24,139
204,2013-07-25,77
205,2013-07-26,119
206,2013-07-27,156
207,2013-07-28,104
208,2013-07-29,45
209,2013-07-30,39
210,2013-07-31,40
211,2013-08-01,43
212,2013-08-02,68
213,2013-08-03,96
214,2013-08-04,54
215,2013-08-08,112
216,2013-08-09,159
217,2013-08-10,157
218,2013-08-11,100
219,2013-08-12,118
220,2013-08-14,129
221,2013-08-15,60
222,2013-08-16,115
223,2013-08-17,100
224,2013-08-18,83
225,2013-08-19,46
226,2013-08-20,52
227,2013-08-21,60
228,2013-08-22,62
229,2013-08-25,111
230,2013-08-26,112
231,2013-08-27,135
232,2013-08-28,126
233,2013-08-29,56
234,2013-08-30,83
235,2013-08-31,129
236,2013-09-01,118
237,2013-09-02,52
238,2013-09-03,32
239,2013-09-04,41
240,2013-09-05,49
241,2013-09-06,69
242,2013-09-07,85
243,2013-09-08,76
244,2013-09-09,135
245,2013-09-10,147
246,2013-09-11,157
247,2013-09-12,135
248,2013-09-13,126
249,2013-09-15,84
250,2013-09-16,123
251,2013-09-17,113
252,2013-09-18,67
