Day,Date,Revenue
1,2013-01-01,1.0
2,2013-01-08,1.0
3,2013-01-15,6.5
4,2013-01-16,0.5
5,2013-01-22,1.0
6,2013-01-24,1.0
7,2013-02-03,1.0
8,2013-02-05,2.0
9,2013-02-06,1.0
10,2013-02-07,1.0
11,2013-02-08,5.5
12,2013-02-11,1.0
13,2013-02-12,1.5
14,2013-02-13,2.0
15,2013-02-16,8.0
16,2013-02-18,1.0
17,2013-02-19,1.5
18,2013-02-20,1.0
19,2013-02-24,1.0
20,2013-02-25,1.0
21,2013-03-01,4.0
22,2013-03-02,1.0
23,2013-03-03,1.0
24,2013-03-06,1.0
25,2013-03-07,1.5
26,2013-03-08,2.0
27,2013-03-10,1.0
28,2013-03-11,1.0
29,2013-03-13,5.0
30,2013-03-14,2.0
31,2013-03-17,3.5
32,2013-03-19,8.0
33,2013-03-21,5.5
34,2013-03-23,4.0
35,2013-03-28,1.5
36,2013-03-29,1.0
37,2013-04-02,1.0
38,2013-04-03,1.0
39,2013-04-05,2.0
40,2013-04-08,5.0
41,2013-04-09,3.5
42,2013-04-12,1.0
43,2013-04-13,5.5
44,2013-04-16,1.0
45,2013-04-17,4.0
46,2013-04-22,3.5
47,2013-04-23,2.0
48,2013-04-24,2.0
49,2013-04-25,2.0
50,2013-04-29,3.0
51,2013-05-01,1.0
52,2013-05-02,3.5
53,2013-05-15,1.0
54,2013-05-17,2.0
55,2013-05-20,1.0
56,2013-05-23,1.0
57,2013-05-24,3.0
58,2013-05-25,3.5
59,2013-05-28,2.0
60,2013-06-01,1.5
61,2013-06-04,0.5
62,2013-06-07,2.0
63,2013-06-15,1.0
64,2013-06-17,1.5
65,2013-06-18,3.0
66,2013-06-20,2.5
67,2013-06-24,2.0
68,2013-06-26,3.0
69,2013-06-30,1.0
70,2013-07-02,1.0
71,2013-07-03,1.5
72,2013-07-05,0.5
73,2013-07-07,1.0
74,2013-07-12,1.0
75,2013-07-16,2.0
76,2013-07-17,4.0
77,2013-07-18,4.0
78,2013-07-19,2.0
79,2013-07-24,2.0
80,2013-07-26,3.5
81,2013-08-02,1.5
82,2013-08-05,1.0
83,2013-08-06,1.0
84,2013-08-18,2.0
85,2013-08-19,1.0
86,2013-08-20,2.5
87,2013-08-26,2.0
88,2013-08-27,3.0
89,2013-09-04,1.0
90,2013-09-07,1.0
91,2013-09-08,1.0
92,2013-09-12,0.5
93,2013-09-13,0.5
94,2013-09-15,19.5
95,2013-09-16,3.5
96,2013-09-17,0.5
97,2013-09-26,1.0
98,2013-10-02,0.5
99,2013-10-05,1.0
100,2013-10-09,1.0
101,2013-10-11,5.0
102,2013-10-16,2.0
103,2013-10-18,0.5
104,2013-10-20,2.0
105,2013-10-22,1.0
106,2013-11-01,1.5
107,2013-11-04,0.5
108,2013-11-06,1.0
109,2013-11-11,10.0
110,2013-11-14,2.0
111,2013-11-18,27.0
112,2013-11-30,1.0
113,2013-12-01,1.0
114,2013-12-07,1.0
115,2013-12-08,3.0
116,2013-12-09,2.0
117,2013-12-10,1.0
118,2013-12-16,2.0
119,2013-12-21,0.5
120,2013-12-23,1.0
121,2013-12-24,1.0
122,2013-12-27,4.0
123,2014-01-01,27.65
124,2014-01-02,118.85
125,2014-01-03,149.45
126,2014-01-04,27.45
127,2014-01-06,48.7
128,2014-01-08,53.4
129,2014-01-09,52.05
130,2014-01-10,14.3
131,2014-01-11,22.7
132,2014-01-12,28.349999999999998
133,2014-01-13,38.29
134,2014-01-14,34.25
135,2014-01-15,21.35
136,2014-01-16,57.400000000000006
137,2014-01-17,8.05
138,2014-01-18,51.949999999999996
139,2014-01-19,40.7
140,2014-01-20,10.3
141,2014-01-21,90.3
142,2014-01-22,39.9
143,2014-01-23,58.95
144,2014-01-24,10.7
145,2014-01-25,51.300000000000004
146,2014-01-28,33.1
147,2014-01-29,7.25
148,2014-01-30,41.050000000000004
149,2014-01-31,34.35
150,2014-02-01,103.69999999999999
151,2014-02-02,81.0
152,2014-02-03,59.7
153,2014-02-04,74.6
154,2014-02-05,46.95
155,2014-02-06,61.0
156,2014-02-07,66.05
157,2014-02-08,47.0
158,2014-02-09,77.1
159,2014-02-10,12.5
160,2014-02-11,44.5
161,2014-02-12,31.75
162,2014-02-13,71.64999999999999
163,2014-02-14,155.4
164,2014-02-15,115.69
165,2014-02-16,50.7
166,2014-02-17,26.2
